1675564108-1,DEWALT,20V MAX XR Cordless Brushless Drywall Screw Gun (Tool Only),100
1675564111-2,Milwaukee,M12 12-Volt Lithium-Ion Cordless 3/8 in. Right Angle Drill  M12 2.0 Ah Battery,100
1675564114-3,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless Drywall Screw Gun (Tool-Only),100
1675564117-4,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 1-9/16 in. SDS-Max Rotary Hammer (Tool-Only),100
1675564119-5,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 1 in. SDS-Plus D-Handle Rotary Hammer (Tool-Only),100
1675564122-6,RYOBI,ONE+ 18V Cordless 1/2 in. Drill/Driver Kit with (2) 1.5 Ah Batteries and Charger,100
1675564124-7,RYOBI,ONE+ 18V Cordless 3/8 in. Drill/Driver Kit with 1.5 Ah Battery and Charger,100
1675564126-8,RYOBI,USB Lithium Screwdriver Kit,100
1675564129-9,RYOBI,ONE+ 18V Cordless 1/2 in. Drill/Driver Kit with (1) 1.5 Ah Battery and Charger,100
1675564132-10,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 1/2 in. Hammer Drill/Driver (Tool-Only),100
1675564134-11,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 1/2 in. Hammer Drill Driver Kit with Two 5.0 Ah Batteries and Hard Case,100
1675564136-12,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 1 in. SDS-Plus Rotary Hammer (Tool-Only),100
1675564360-13,DEWALT,20V MAX Cordless 3/8 in. Right Angle Drill/Driver (Tool Only),100
1675564363-14,Milwaukee,M18 Fuel 18-Volt Lithium-Ion Brushless Cordless 1 in. SDS-Plus Rotary Hammer with 6.0 Ah Battery,100
1675564366-15,Makita,18V LXT Lithium-Ion 1/4 in. Cordless Impact Driver (Tool-Only),100
1675564369-16,Milwaukee,M18 18V Lithium-Ion Cordless 1/4 in. Hex 2-Speed Right Angle Impact Driver (Tool-Only),100
1675564372-17,RYOBI,ONE+ 18V Cordless Brushless Drywall Screw Gun (Tool Only),100
1675564374-18,Makita,18V LXT Lithium-Ion 1/2 in. Brushless Cordless Hammer Driver-Drill (Tool Only),100
1675564377-19,Milwaukee,M12 12V Lithium-Ion Cordless 1/4 in. Right Angle Hex Impact Driver (Tool-Only),100
1675564380-20,Makita,18V Lithium-Ion Brushless 1/2 In. Cordless Hammer Driver Drill (Tool Only),100
1675564383-21,RIDGID,18V Cordless 1/2 in. Drill/Driver Kit with (1) 2.0 Ah Battery and Charger,100
1675564386-22,Makita,18V LXT Lithium-Ion Brushless 1/4 in. Cordless Quick-Shift Mode 3-Speed Impact Driver (Tool Only),100
1675564388-23,RYOBI,ONE+ 18V Cordless 1/4 in. Impact Driver (Tool Only),100
1675564394-24,Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 1 in. SDS-Plus Rotary Hammer with Deep Cut Bandsaw (2-Tool),100
